Date,Latitude,Longitude,Observed,Gaussian Simple
2007-01-01,32.124997656668896,-99.66666666666461,,30.29
2007-01-02,32.124997656668896,-99.66666666666461,,0.0
2007-01-03,32.124997656668896,-99.66666666666461,,0.0
2007-01-04,32.124997656668896,-99.66666666666461,,0.0
2007-01-05,32.124997656668896,-99.66666666666461,,0.0
2007-01-06,32.124997656668896,-99.66666666666461,,0.0
2007-01-07,32.124997656668896,-99.66666666666461,,0.0
2007-01-08,32.124997656668896,-99.66666666666461,,0.0
2007-01-09,32.124997656668896,-99.66666666666461,,0.0
2007-01-10,32.124997656668896,-99.66666666666461,,0.0
2007-01-11,32.124997656668896,-99.66666666666461,,0.0
2007-01-12,32.124997656668896,-99.66666666666461,,9.89
2007-01-13,32.124997656668896,-99.66666666666461,,2542.21
2007-01-14,32.124997656668896,-99.66666666666461,,0.0
2007-01-15,32.124997656668896,-99.66666666666461,,5168.13
2007-01-16,32.124997656668896,-99.66666666666461,,0.0
2007-01-17,32.124997656668896,-99.66666666666461,,55.42
2007-01-18,32.124997656668896,-99.66666666666461,,119.62
2007-01-19,32.124997656668896,-99.66666666666461,,6392.45
2007-01-20,32.124997656668896,-99.66666666666461,,880.69
2007-01-21,32.124997656668896,-99.66666666666461,,1404.58
2007-01-22,32.124997656668896,-99.66666666666461,,75.9
2007-01-23,32.124997656668896,-99.66666666666461,,42.25
2007-01-24,32.124997656668896,-99.66666666666461,,337.21
2007-01-25,32.124997656668896,-99.66666666666461,,399.9
2007-01-26,32.124997656668896,-99.66666666666461,,0.0
2007-01-27,32.124997656668896,-99.66666666666461,,0.0
2007-01-28,32.124997656668896,-99.66666666666461,,0.0
2007-01-29,32.124997656668896,-99.66666666666461,,2.25
2007-01-30,32.124997656668896,-99.66666666666461,,72.37
2007-01-31,32.124997656668896,-99.66666666666461,,16.13
2007-02-01,32.124997656668896,-99.66666666666461,,1290.82
2007-02-02,32.124997656668896,-99.66666666666461,,0.0
2007-02-03,32.124997656668896,-99.66666666666461,,41.62
2007-02-04,32.124997656668896,-99.66666666666461,,66.21
2007-02-05,32.124997656668896,-99.66666666666461,,0.0
2007-02-06,32.124997656668896,-99.66666666666461,,0.0
2007-02-07,32.124997656668896,-99.66666666666461,,0.0
2007-02-08,32.124997656668896,-99.66666666666461,,0.0
2007-02-09,32.124997656668896,-99.66666666666461,,205.11
2007-02-10,32.124997656668896,-99.66666666666461,,267.77
2007-02-11,32.124997656668896,-99.66666666666461,,2.25
2007-02-12,32.124997656668896,-99.66666666666461,,103.39
2007-02-13,32.124997656668896,-99.66666666666461,,148.0
2007-02-14,32.124997656668896,-99.66666666666461,,0.0
2007-02-15,32.124997656668896,-99.66666666666461,,3.44
2007-02-16,32.124997656668896,-99.66666666666461,,2.44
2007-02-17,32.124997656668896,-99.66666666666461,,0.0
2007-02-18,32.124997656668896,-99.66666666666461,,0.0
2007-02-19,32.124997656668896,-99.66666666666461,,0.0
2007-02-20,32.124997656668896,-99.66666666666461,,3558.33
2007-02-21,32.124997656668896,-99.66666666666461,,71.98
2007-02-22,32.124997656668896,-99.66666666666461,,0.0
2007-02-23,32.124997656668896,-99.66666666666461,,1.72
2007-02-24,32.124997656668896,-99.66666666666461,,10.74
2007-02-25,32.124997656668896,-99.66666666666461,,20.8
2007-02-26,32.124997656668896,-99.66666666666461,,0.0
2007-02-27,32.124997656668896,-99.66666666666461,,0.0
2007-02-28,32.124997656668896,-99.66666666666461,,40.94
2007-03-01,32.124997656668896,-99.66666666666461,,210.68
2007-03-02,32.124997656668896,-99.66666666666461,,0.0
2007-03-03,32.124997656668896,-99.66666666666461,,0.0
2007-03-04,32.124997656668896,-99.66666666666461,,0.0
2007-03-05,32.124997656668896,-99.66666666666461,,0.0
2007-03-06,32.124997656668896,-99.66666666666461,,0.0
2007-03-07,32.124997656668896,-99.66666666666461,,0.0
2007-03-08,32.124997656668896,-99.66666666666461,,0.0
2007-03-09,32.124997656668896,-99.66666666666461,,0.0
2007-03-10,32.124997656668896,-99.66666666666461,,0.0
2007-03-11,32.124997656668896,-99.66666666666461,,0.0
2007-03-12,32.124997656668896,-99.66666666666461,,19973.74
2007-03-13,32.124997656668896,-99.66666666666461,,5495.67
2007-03-14,32.124997656668896,-99.66666666666461,,0.0
2007-03-15,32.124997656668896,-99.66666666666461,,0.0
2007-03-16,32.124997656668896,-99.66666666666461,,0.0
2007-03-17,32.124997656668896,-99.66666666666461,,0.0
2007-03-18,32.124997656668896,-99.66666666666461,,0.0
2007-03-19,32.124997656668896,-99.66666666666461,,0.0
2007-03-20,32.124997656668896,-99.66666666666461,,185.25
2007-03-21,32.124997656668896,-99.66666666666461,0.0,70.53
2007-03-22,32.124997656668896,-99.66666666666461,0.01,103.02
2007-03-23,32.124997656668896,-99.66666666666461,0.0,0.0
2007-03-24,32.124997656668896,-99.66666666666461,0.01,0.0
2007-03-25,32.124997656668896,-99.66666666666461,0.03,7.87
2007-03-26,32.124997656668896,-99.66666666666461,0.61,0.0
2007-03-27,32.124997656668896,-99.66666666666461,0.78,0.0
2007-03-28,32.124997656668896,-99.66666666666461,0.0,0.0
2007-03-29,32.124997656668896,-99.66666666666461,0.0,5.41
2007-03-30,32.124997656668896,-99.66666666666461,0.31,0.0
2007-03-31,32.124997656668896,-99.66666666666461,3.58,1199.25
2007-04-01,32.124997656668896,-99.66666666666461,0.0,25.37
2007-04-02,32.124997656668896,-99.66666666666461,0.0,0.0
2007-04-03,32.124997656668896,-99.66666666666461,0.0,8.84
