Model,R square Mean,MAE Mean,RMSE Mean,MSE Mean,Distance between stations
IDW,0.7854849311011735,0.9600373604752824,0.14923732858747174,0.02321293452515227,140.8064974654675
IDW,0.77750360365447,0.9838274117812251,0.15233059624026452,0.02408144750912613,105.60487309910062
IDW,0.7689975003317813,0.9986229107867061,0.15532455009209742,0.025051570061873314,112.64519797237399
IDW,0.7711674348580406,1.0001234688379177,0.15472426430689537,0.024774020331806965,119.68552284564736
IDW,0.7564062746255549,1.0427828274829078,0.1597874523980767,0.026406758570123947,126.72584771892075
IDW,0.7487971667899265,1.0651044535919498,0.1620457917928157,0.027217647850900212,133.7661725921941
IDW,0.7358794936566796,1.095174936423745,0.16614097514771503,0.028677222281627543,140.8064974654675
IDW,0.7250358050467559,1.1226895415160207,0.16981196619292704,0.02996862389110398,147.84682233874088
IDW,0.7157248498148011,1.1474711197958354,0.17291262858273831,0.031026882742563575,154.88714721201424
IDW,0.6962882636188542,1.1882574696085122,0.17873439296075194,0.033123272734627646,161.9274720852876
IDW,0.680219070584886,1.2312556205365996,0.18378464043325723,0.035236163377359034,168.96779695856097
IDW,0.6773635569623706,1.2333110106722616,0.1847757734195228,0.0355954038703324,176.00812183183436
IDW,0.6393583807231671,1.3036284122999815,0.19718602483862296,0.041301507233608016,183.04844670510775
IDW,0.5876123335364996,1.3436682806731537,0.21144297683652574,0.05047859809530954,190.0887715783811
IDW,0.6249554269383832,1.3862501801507288,0.19920711237883365,0.04159052569958561,197.12909645165448
IDW,0.5955699324508942,1.4620116011443494,0.20897212027844683,0.04602640491195113,204.16942132492784
IDW,0.5717753739257468,1.5080928541821341,0.2145276396313918,0.04821448202727156,211.20974619820123
