Variogram Model,Kriging Model,R square Mean,MAE mean,RMSE Mean,MSE Mean,Distance between stations
Exponential,Krige,0.798049327130191,0.866587711020251,0.150521267610091,0.0315486137436802,133.895010211035
Exponential,Simple,0.798030299245154,0.866071670246144,0.150528605356835,0.031550037432137,133.895010211035
Gaussian,Krige,-460.415772835459,16.5326301647414,3.286173606178,64.6486329522399,133.895010211035
Gaussian,Simple,-464.281175336068,16.5766991023621,3.29845315185669,65.0860689674421,133.895010211035
Spherical,Krige,0.79461382163193,0.888704604667745,0.151620949012337,0.0319296435793824,133.895010211035
Spherical,Simple,0.79417541090231,0.881763194948011,0.15175974675378,0.0319698074610487,133.895010211035
Exponential,Krige,0.789181607183003,0.886975125318182,0.154088234481329,0.0323620151044184,100.421257658276
Exponential,Simple,0.789157191960764,0.886432052484438,0.154097550939834,0.032363992925893,100.421257658276
Gaussian,Krige,-626.207335110947,18.5518893337352,3.78936939578745,86.1786981563106,100.421257658276
Gaussian,Simple,-628.706960831532,18.5902374142133,3.79640768172883,86.4696167533198,100.421257658276
Spherical,Krige,0.785674581113107,0.909827037004839,0.155215473035965,0.0327515941190125,100.421257658276
Spherical,Simple,0.785165594907767,0.90269060486431,0.155377597151878,0.0327993145523189,100.421257658276
Exponential,Krige,0.779184790982963,0.906123140644556,0.158097768489057,0.0335889392660354,107.116008168828
Exponential,Simple,0.77915944205422,0.905421205749749,0.158107195642647,0.0335909926757114,107.116008168828
Gaussian,Krige,-647.478138467949,19.0710985297731,3.84865153827582,88.6981850533724,107.116008168828
Gaussian,Simple,-652.905429754258,19.0967855061829,3.86015894303404,89.5973473717724,107.116008168828
Spherical,Krige,0.775191932582626,0.930649430611989,0.159378278047206,0.034035126196299,107.116008168828
Spherical,Simple,0.774568660375159,0.922385164601055,0.159568562462283,0.0340953566941596,107.116008168828
Exponential,Krige,0.775714766895004,0.916356193195151,0.159401705519186,0.033889256065824,113.81075867938
Exponential,Simple,0.775670514870616,0.915698369594583,0.159418472706363,0.0338936586864674,113.81075867938
Gaussian,Krige,-894.601293264725,22.6215149397754,4.60502725321344,122.904194570241,113.81075867938
Gaussian,Simple,-895.687633847959,22.6390282720127,4.60574482438646,123.142280256931,113.81075867938
Spherical,Krige,0.771518773043121,0.941814841381031,0.160746154247735,0.0343506421211295,113.81075867938
Spherical,Simple,0.770555408620881,0.933628423512298,0.161044888970034,0.0344450637114942,113.81075867938
Exponential,Krige,0.766322367232486,0.936871773445392,0.162756532420573,0.0349563724100565,120.505509189931
Exponential,Simple,0.766312120709141,0.93594462197607,0.162761207486272,0.034957278198308,120.505509189931
Gaussian,Krige,-926.448256627563,23.7124995295861,4.77407156700082,122.669923498451,120.505509189931
Gaussian,Simple,-930.782672527332,23.8307096286921,4.79257462426965,123.351583768854,120.505509189931
Spherical,Krige,0.761993965436305,0.96442860389594,0.164132488367239,0.0354321793056792,120.505509189931
Spherical,Simple,0.761122550067492,0.954483587623166,0.164397494297594,0.0355193054849767,120.505509189931
Exponential,Krige,0.75697316350931,0.960091352842878,0.165628691609868,0.0356938321873374,127.200259700483
Exponential,Simple,0.756917053133932,0.958881992095998,0.165645273675905,0.0356997681786551,127.200259700483
Gaussian,Krige,-999.697908489514,24.9331742666196,5.01624148479171,129.563321922088,127.200259700483
Gaussian,Simple,-1131.07157990935,25.4975527307,5.29615226398866,143.121290060506,127.200259700483
Spherical,Krige,0.751032269994307,0.992862493017159,0.167463853703204,0.0363394729143797,127.200259700483
Spherical,Simple,0.749182858683988,0.981244360263903,0.167980054928694,0.0365342676160422,127.200259700483
Exponential,Krige,0.741389175805853,0.991191809428448,0.170547852222051,0.0374258361593927,133.895010211035
Exponential,Simple,0.741426504944469,0.989389604887401,0.170542183920988,0.0374224188515466,133.895010211035
Gaussian,Krige,-1431.16612933954,25.1207466559972,6.11995051115504,160.789923929465,133.895010211035
Gaussian,Simple,-1569.5275509213,27.6221010461827,6.47059950487616,182.469598277078,133.895010211035
Spherical,Krige,0.73361451220856,1.03031487862345,0.17284376735778,0.0382627326975835,133.895010211035
Spherical,Simple,0.732277658793481,1.0135561190365,0.173230441361925,0.0384070361086119,133.895010211035
Exponential,Krige,0.732826902165189,1.01794736617145,0.173511112575891,0.0383248323977027,140.589760721587
Exponential,Simple,0.732956964905749,1.0145614244794,0.173480688540934,0.0383115358883047,140.589760721587
Gaussian,Krige,-827.33401087452,25.9743535374743,5.42380313199901,98.1686069767949,140.589760721587
Gaussian,Simple,-897.223255539915,28.4597043087932,5.9524997504385,108.484356550782,140.589760721587
Spherical,Krige,0.723910751440616,1.06281661655256,0.17609417135936,0.0392850994799386,140.589760721587
Spherical,Simple,0.721562926857987,1.04096226059708,0.176703824436533,0.0395382563858844,140.589760721587
Exponential,Krige,0.720129724166822,1.04929991734913,0.178413003691207,0.0397848999398396,147.284511232138
Exponential,Simple,0.720262306031341,1.04582873759605,0.178382155337617,0.0397716148252189,147.284511232138
Gaussian,Krige,-1137.74159899932,34.5176142985021,7.02577192987209,126.020493752494,147.284511232138
Gaussian,Simple,-1140.46788728508,34.5414204070171,7.030693402604,126.341868959275,147.284511232138
Spherical,Krige,0.709742586649467,1.09881027133304,0.181388408271907,0.0408790585954322,147.284511232138
Spherical,Simple,0.707011739426105,1.07246333637033,0.182105816832845,0.0411741260501897,147.284511232138
Exponential,Krige,0.708572215760658,1.07459847092819,0.181917577204214,0.0409838590414254,153.97926174269
Exponential,Simple,0.708927589325787,1.06884847112197,0.181829871221522,0.0409475936818048,153.97926174269
Gaussian,Krige,-125.692187427545,14.4567513724771,2.62253752442835,14.4629383907395,153.97926174269
