Model,Function type,R square Mean,MAE mean,RMSE Mean,MSE Mean,Distance between stations
RBF,linear,0.7824164681879111,0.9436182580601795,0.15522596736539707,0.027064547345258337,131.75493920177826
RBF,thin_plate,0.7354852044497002,1.0261309999703487,0.16931914787164595,0.03305506110177572,131.75493920177826
RBF,cubic,0.6536699725785861,1.161600336075681,0.18966542392493818,0.0426449740266855,131.75493920177826
RBF,quintic,-0.11349765813239612,1.6847987372125734,0.2730296827297672,0.11045421326099578,131.75493920177826
RBF,multiquadric,-0.9125777536846333,2.331420879525922,0.3805268904002515,0.23894809877535522,131.75493920177826
RBF,inverse_multiquadric,0.17549147459953623,1.759613590987876,0.2815133501275232,0.1009243974974094,131.75493920177826
RBF,gaussian,-10595.024161284155,86.48042852122246,19.037137349070846,1256.293468797083,131.75493920177826
RBF,linear,0.7794165072337264,0.9524692425974707,0.15676194349090805,0.02739774341493881,98.81620440133369
RBF,thin_plate,0.7320008985375015,1.0359786940460332,0.17099984016461406,0.03344141124515168,98.81620440133369
RBF,cubic,0.6501346736422797,1.171455238717757,0.19126371670424716,0.04304333392041411,98.81620440133369
RBF,quintic,-0.11397477158727681,1.687980361923607,0.2734916288970669,0.11057850530431144,98.81620440133369
RBF,multiquadric,-1.0092555343061824,2.2601598119997774,0.37029926377173034,0.25907476164256693,98.81620440133369
RBF,inverse_multiquadric,0.1382512417413028,1.7379313210817322,0.2793437214065846,0.10760136099938145,98.81620440133369
RBF,gaussian,-1101.4090322386062,27.612869616467094,5.275717877139807,153.0248905542418,98.81620440133369
RBF,linear,0.7740962406507439,0.9655815667861384,0.15885721688153187,0.02798741242813816,105.40395136142261
RBF,thin_plate,0.7241575028850036,1.0524559827618665,0.17374494191533843,0.03425270405264894,105.40395136142261
RBF,cubic,0.6380519833816832,1.1936532899154606,0.194917231027159,0.044242275099035874,105.40395136142261
RBF,quintic,-0.12893662251802723,1.7269523585178308,0.27917180455804486,0.11236925277140528,105.40395136142261
RBF,multiquadric,-1.4079010929440834,2.459550450882344,0.4028864686336237,0.31043319516510937,105.40395136142261
RBF,inverse_multiquadric,-0.002076604557156416,1.8592714968961723,0.297937901484888,0.1253070653395881,105.40395136142261
RBF,gaussian,-794.9320548132251,24.31125162205597,4.7795964871081305,111.27695824417037,105.40395136142261
RBF,linear,0.7686153908746572,0.9787587101771354,0.1609328141620375,0.02856400250504714,111.99169832151152
RBF,thin_plate,0.7175255949838817,1.0689803286187964,0.17610606989620542,0.03493128613139966,111.99169832151152
RBF,cubic,0.6269026811119667,1.2181915126186458,0.19848607713862096,0.04535584977589,111.99169832151152
RBF,quintic,-0.17699930955498683,1.787607695751645,0.28930159460925237,0.11714346008540927,111.99169832151152
RBF,multiquadric,-2.1296098445569864,2.7086696527508347,0.4540327991191875,0.39315291680561676,111.99169832151152
RBF,inverse_multiquadric,-0.3669905266048162,2.066199093522872,0.3378210848353883,0.16668219217535296,111.99169832151152
RBF,gaussian,-434.32116596540266,19.947430680817174,3.935029918778718,60.23054649000534,111.99169832151152
RBF,linear,0.7510193005814312,1.0077346914490666,0.16673927119675402,0.030534312525839918,118.57944528160043
RBF,thin_plate,0.6956765387656307,1.1032278448514488,0.18275819909932628,0.037374715357460175,118.57944528160043
RBF,cubic,0.6008453398521617,1.2543486512900295,0.2053312085342186,0.04829490703236297,118.57944528160043
RBF,quintic,-0.22570730967002128,1.823267349868888,0.2958379003530486,0.12325854662178855,118.57944528160043
RBF,multiquadric,-2.0799385986649495,2.6620095737045824,0.44084113542410824,0.3784029660210906,118.57944528160043
RBF,inverse_multiquadric,-0.41108590558757635,2.038864880662838,0.33139442035181466,0.17442123213767446,118.57944528160043
RBF,gaussian,-184.30277443389366,14.585397157565422,2.8445203812312165,21.03594179051775,118.57944528160043
RBF,linear,0.7451430962616147,1.0174856185796868,0.16866218376071074,0.031094595581707036,125.16719224168934
RBF,thin_plate,0.687942908864411,1.113202839585599,0.18506910430180037,0.03812206418227252,125.16719224168934
RBF,cubic,0.5933756019319698,1.262835426918183,0.20732062457938472,0.04900186865508375,125.16719224168934
RBF,quintic,-0.21122947662285374,1.8344536387106596,0.29676682970749446,0.12101106627833899,125.16719224168934
RBF,multiquadric,-2.438855534116088,2.706067228063669,0.4657317802640911,0.41323485172889257,125.16719224168934
RBF,inverse_multiquadric,-0.46716821502062733,2.0643293618119034,0.342343484768436,0.18322154651317613,125.16719224168934
RBF,gaussian,-701.7542584138703,18.39757643446562,4.1797286971140215,71.24568988387956,125.16719224168934
RBF,linear,0.7291201233674063,1.0591587289360875,0.17412404822690075,0.03274628651029788,131.75493920177826
RBF,thin_plate,0.6665676941713181,1.1647197988785873,0.19173460034372242,0.04033336646350799,131.75493920177826
RBF,cubic,0.5591541316160211,1.333679052842006,0.2166446553278187,0.0525621092332328,131.75493920177826
RBF,quintic,-0.29357412628794627,1.9481001773175126,0.3126425411026068,0.12887630339126144,131.75493920177826
RBF,multiquadric,-0.6913035300761076,2.3688049663480193,0.38529314355041244,0.19615303506408766,131.75493920177826
RBF,inverse_multiquadric,0.10294432960939878,1.8739009406389955,0.29944023631899147,0.10899455204752571,131.75493920177826
RBF,gaussian,-162.30669026334778,10.425217086984391,2.3737107113446667,18.575722673219907,131.75493920177826
RBF,linear,0.7253669361124486,1.0712046152449757,0.17570707797209167,0.03318281631243616,138.34268616186716
RBF,thin_plate,0.663727567110497,1.175946706690452,0.1930286660172252,0.0406643061182085,138.34268616186716
RBF,cubic,0.5589499744985801,1.3428123520653654,0.21716245310720658,0.05257802330809185,138.34268616186716
