Date,Latitude,Longitude,Observed,Gaussian Krige
2007-01-01,32.124997656668896,-99.66666666666461,,31.89
2007-01-02,32.124997656668896,-99.66666666666461,,0.0
2007-01-03,32.124997656668896,-99.66666666666461,,0.0
2007-01-04,32.124997656668896,-99.66666666666461,,0.0
2007-01-05,32.124997656668896,-99.66666666666461,,0.0
2007-01-06,32.124997656668896,-99.66666666666461,,0.0
2007-01-07,32.124997656668896,-99.66666666666461,,0.0
2007-01-08,32.124997656668896,-99.66666666666461,,0.0
2007-01-09,32.124997656668896,-99.66666666666461,,0.0
2007-01-10,32.124997656668896,-99.66666666666461,,0.0
2007-01-11,32.124997656668896,-99.66666666666461,,0.0
2007-01-12,32.124997656668896,-99.66666666666461,,9.84
2007-01-13,32.124997656668896,-99.66666666666461,,2661.97
2007-01-14,32.124997656668896,-99.66666666666461,,0.0
2007-01-15,32.124997656668896,-99.66666666666461,,5164.05
2007-01-16,32.124997656668896,-99.66666666666461,,0.0
2007-01-17,32.124997656668896,-99.66666666666461,,50.02
2007-01-18,32.124997656668896,-99.66666666666461,,145.72
2007-01-19,32.124997656668896,-99.66666666666461,,6381.96
2007-01-20,32.124997656668896,-99.66666666666461,,882.15
2007-01-21,32.124997656668896,-99.66666666666461,,1400.29
2007-01-22,32.124997656668896,-99.66666666666461,,77.59
2007-01-23,32.124997656668896,-99.66666666666461,,42.26
2007-01-24,32.124997656668896,-99.66666666666461,,379.06
2007-01-25,32.124997656668896,-99.66666666666461,,429.4
2007-01-26,32.124997656668896,-99.66666666666461,,0.0
2007-01-27,32.124997656668896,-99.66666666666461,,0.0
2007-01-28,32.124997656668896,-99.66666666666461,,0.0
2007-01-29,32.124997656668896,-99.66666666666461,,2.36
2007-01-30,32.124997656668896,-99.66666666666461,,74.61
2007-01-31,32.124997656668896,-99.66666666666461,,16.52
2007-02-01,32.124997656668896,-99.66666666666461,,1299.86
2007-02-02,32.124997656668896,-99.66666666666461,,0.0
2007-02-03,32.124997656668896,-99.66666666666461,,42.7
2007-02-04,32.124997656668896,-99.66666666666461,,64.98
2007-02-05,32.124997656668896,-99.66666666666461,,0.0
2007-02-06,32.124997656668896,-99.66666666666461,,0.0
2007-02-07,32.124997656668896,-99.66666666666461,,0.0
2007-02-08,32.124997656668896,-99.66666666666461,,0.0
2007-02-09,32.124997656668896,-99.66666666666461,,206.03
2007-02-10,32.124997656668896,-99.66666666666461,,269.98
2007-02-11,32.124997656668896,-99.66666666666461,,2.36
2007-02-12,32.124997656668896,-99.66666666666461,,109.39
2007-02-13,32.124997656668896,-99.66666666666461,,148.47
2007-02-14,32.124997656668896,-99.66666666666461,,0.0
2007-02-15,32.124997656668896,-99.66666666666461,,3.02
2007-02-16,32.124997656668896,-99.66666666666461,,2.33
2007-02-17,32.124997656668896,-99.66666666666461,,0.0
2007-02-18,32.124997656668896,-99.66666666666461,,0.0
2007-02-19,32.124997656668896,-99.66666666666461,,0.0
2007-02-20,32.124997656668896,-99.66666666666461,,3501.52
2007-02-21,32.124997656668896,-99.66666666666461,,70.85
2007-02-22,32.124997656668896,-99.66666666666461,,0.0
2007-02-23,32.124997656668896,-99.66666666666461,,1.82
2007-02-24,32.124997656668896,-99.66666666666461,,11.41
2007-02-25,32.124997656668896,-99.66666666666461,,25.69
2007-02-26,32.124997656668896,-99.66666666666461,,0.0
2007-02-27,32.124997656668896,-99.66666666666461,,0.0
2007-02-28,32.124997656668896,-99.66666666666461,,38.73
2007-03-01,32.124997656668896,-99.66666666666461,,208.16
2007-03-02,32.124997656668896,-99.66666666666461,,0.0
2007-03-03,32.124997656668896,-99.66666666666461,,0.0
2007-03-04,32.124997656668896,-99.66666666666461,,0.0
2007-03-05,32.124997656668896,-99.66666666666461,,0.0
2007-03-06,32.124997656668896,-99.66666666666461,,0.0
2007-03-07,32.124997656668896,-99.66666666666461,,0.0
2007-03-08,32.124997656668896,-99.66666666666461,,0.0
2007-03-09,32.124997656668896,-99.66666666666461,,0.0
2007-03-10,32.124997656668896,-99.66666666666461,,0.0
2007-03-11,32.124997656668896,-99.66666666666461,,0.0
2007-03-12,32.124997656668896,-99.66666666666461,,20857.55
2007-03-13,32.124997656668896,-99.66666666666461,,5619.23
2007-03-14,32.124997656668896,-99.66666666666461,,0.0
2007-03-15,32.124997656668896,-99.66666666666461,,0.0
2007-03-16,32.124997656668896,-99.66666666666461,,0.0
2007-03-17,32.124997656668896,-99.66666666666461,,0.0
2007-03-18,32.124997656668896,-99.66666666666461,,0.0
2007-03-19,32.124997656668896,-99.66666666666461,,0.0
2007-03-20,32.124997656668896,-99.66666666666461,,190.51
2007-03-21,32.124997656668896,-99.66666666666461,0.0,70.73
2007-03-22,32.124997656668896,-99.66666666666461,0.01,102.9
2007-03-23,32.124997656668896,-99.66666666666461,0.0,0.0
2007-03-24,32.124997656668896,-99.66666666666461,0.01,0.0
2007-03-25,32.124997656668896,-99.66666666666461,0.03,7.88
2007-03-26,32.124997656668896,-99.66666666666461,0.61,0.0
2007-03-27,32.124997656668896,-99.66666666666461,0.78,0.0
2007-03-28,32.124997656668896,-99.66666666666461,0.0,0.0
2007-03-29,32.124997656668896,-99.66666666666461,0.0,5.41
2007-03-30,32.124997656668896,-99.66666666666461,0.31,0.0
2007-03-31,32.124997656668896,-99.66666666666461,3.58,1200.06
2007-04-01,32.124997656668896,-99.66666666666461,0.0,25.22
2007-04-02,32.124997656668896,-99.66666666666461,0.0,0.0
2007-04-03,32.124997656668896,-99.66666666666461,0.0,8.83
