Date,Latitude,Longitude,Observed,RBF gaussian
2007-01-01,29.79166453009312,-97.16666666666443,0.0,0.0
2007-01-02,29.79166453009312,-97.16666666666443,0.0,0.0
2007-01-03,29.79166453009312,-97.16666666666443,0.57,35.26
2007-01-04,29.79166453009312,-97.16666666666443,0.5,18.07
2007-01-05,29.79166453009312,-97.16666666666443,0.0,0.0
2007-01-06,29.79166453009312,-97.16666666666443,0.04,9.31
2007-01-07,29.79166453009312,-97.16666666666443,0.0,0.0
2007-01-08,29.79166453009312,-97.16666666666443,0.0,0.0
2007-01-09,29.79166453009312,-97.16666666666443,0.0,0.0
2007-01-10,29.79166453009312,-97.16666666666443,0.0,0.0
2007-01-11,29.79166453009312,-97.16666666666443,0.0,0.12
2007-01-12,29.79166453009312,-97.16666666666443,0.02,3.43
2007-01-13,29.79166453009312,-97.16666666666443,0.9,142.66
2007-01-14,29.79166453009312,-97.16666666666443,0.02,0.0
2007-01-15,29.79166453009312,-97.16666666666443,0.64,8.68
2007-01-16,29.79166453009312,-97.16666666666443,0.0,0.0
2007-01-17,29.79166453009312,-97.16666666666443,0.13,0.0
2007-01-18,29.79166453009312,-97.16666666666443,0.35,304.95
2007-01-19,29.79166453009312,-97.16666666666443,0.03,16.4
2007-01-20,29.79166453009312,-97.16666666666443,0.14,55.61
2007-01-21,29.79166453009312,-97.16666666666443,0.01,7.64
2007-01-22,29.79166453009312,-97.16666666666443,0.0,0.0
2007-01-23,29.79166453009312,-97.16666666666443,0.31,0.0
2007-01-24,29.79166453009312,-97.16666666666443,0.69,73.79
2007-01-25,29.79166453009312,-97.16666666666443,0.0,0.0
2007-01-26,29.79166453009312,-97.16666666666443,0.0,0.0
2007-01-27,29.79166453009312,-97.16666666666443,0.07,0.0
2007-01-28,29.79166453009312,-97.16666666666443,0.0,0.0
2007-01-29,29.79166453009312,-97.16666666666443,0.0,0.0
2007-01-30,29.79166453009312,-97.16666666666443,0.02,0.0
2007-01-31,29.79166453009312,-97.16666666666443,0.0,2.06
2007-02-01,29.79166453009312,-97.16666666666443,0.0,7.85
2007-02-02,29.79166453009312,-97.16666666666443,0.0,0.0
2007-02-03,29.79166453009312,-97.16666666666443,0.0,0.34
2007-02-04,29.79166453009312,-97.16666666666443,0.0,0.0
2007-02-05,29.79166453009312,-97.16666666666443,0.0,0.0
2007-02-06,29.79166453009312,-97.16666666666443,0.0,0.0
2007-02-07,29.79166453009312,-97.16666666666443,0.0,0.0
2007-02-08,29.79166453009312,-97.16666666666443,0.0,0.0
2007-02-09,29.79166453009312,-97.16666666666443,0.0,0.0
2007-02-10,29.79166453009312,-97.16666666666443,0.0,0.0
2007-02-11,29.79166453009312,-97.16666666666443,0.01,0.0
2007-02-12,29.79166453009312,-97.16666666666443,0.03,0.0
2007-02-13,29.79166453009312,-97.16666666666443,0.0,0.0
2007-02-14,29.79166453009312,-97.16666666666443,0.0,0.0
2007-02-15,29.79166453009312,-97.16666666666443,0.0,0.0
2007-02-16,29.79166453009312,-97.16666666666443,0.0,0.0
2007-02-17,29.79166453009312,-97.16666666666443,0.0,0.0
2007-02-18,29.79166453009312,-97.16666666666443,0.0,0.0
2007-02-19,29.79166453009312,-97.16666666666443,0.0,40.23
2007-02-20,29.79166453009312,-97.16666666666443,0.04,0.0
2007-02-21,29.79166453009312,-97.16666666666443,0.01,0.0
2007-02-22,29.79166453009312,-97.16666666666443,0.0,0.0
2007-02-23,29.79166453009312,-97.16666666666443,0.0,0.0
2007-02-24,29.79166453009312,-97.16666666666443,0.0,0.46
2007-02-25,29.79166453009312,-97.16666666666443,0.0,0.0
2007-02-26,29.79166453009312,-97.16666666666443,0.0,0.0
2007-02-27,29.79166453009312,-97.16666666666443,0.0,0.0
2007-02-28,29.79166453009312,-97.16666666666443,0.0,3.25
2007-03-01,29.79166453009312,-97.16666666666443,0.07,0.0
2007-03-02,29.79166453009312,-97.16666666666443,0.0,0.0
2007-03-03,29.79166453009312,-97.16666666666443,0.0,0.0
2007-03-04,29.79166453009312,-97.16666666666443,0.0,0.0
2007-03-05,29.79166453009312,-97.16666666666443,0.0,0.0
2007-03-06,29.79166453009312,-97.16666666666443,0.0,0.0
2007-03-07,29.79166453009312,-97.16666666666443,0.0,0.0
2007-03-08,29.79166453009312,-97.16666666666443,0.0,0.0
2007-03-09,29.79166453009312,-97.16666666666443,0.0,0.0
2007-03-10,29.79166453009312,-97.16666666666443,0.0,0.0
2007-03-11,29.79166453009312,-97.16666666666443,0.19,429.89
2007-03-12,29.79166453009312,-97.16666666666443,1.89,88.6
2007-03-13,29.79166453009312,-97.16666666666443,1.56,38.85
2007-03-14,29.79166453009312,-97.16666666666443,0.16,11.93
2007-03-15,29.79166453009312,-97.16666666666443,0.0,0.0
2007-03-16,29.79166453009312,-97.16666666666443,0.0,0.0
2007-03-17,29.79166453009312,-97.16666666666443,0.0,0.0
2007-03-18,29.79166453009312,-97.16666666666443,0.0,0.0
2007-03-19,29.79166453009312,-97.16666666666443,0.0,0.0
2007-03-20,29.79166453009312,-97.16666666666443,0.0,9.6
2007-03-21,29.79166453009312,-97.16666666666443,0.0,0.0
2007-03-22,29.79166453009312,-97.16666666666443,0.03,22.29
2007-03-23,29.79166453009312,-97.16666666666443,0.0,0.68
2007-03-24,29.79166453009312,-97.16666666666443,0.0,0.0
2007-03-25,29.79166453009312,-97.16666666666443,0.0,1.75
2007-03-26,29.79166453009312,-97.16666666666443,1.32,251.53
2007-03-27,29.79166453009312,-97.16666666666443,0.0,5.79
