Date,Latitude,Longitude,Observed,RBF gaussian
2007-01-01,31.749997690613135,-98.79166666666455,,0.99
2007-01-02,31.749997690613135,-98.79166666666455,,0.0
2007-01-03,31.749997690613135,-98.79166666666455,,0.0
2007-01-04,31.749997690613135,-98.79166666666455,,166.45
2007-01-05,31.749997690613135,-98.79166666666455,,0.0
2007-01-06,31.749997690613135,-98.79166666666455,,0.02
2007-01-07,31.749997690613135,-98.79166666666455,,0.0
2007-01-08,31.749997690613135,-98.79166666666455,,0.29
2007-01-09,31.749997690613135,-98.79166666666455,,0.0
2007-01-10,31.749997690613135,-98.79166666666455,,0.0
2007-01-11,31.749997690613135,-98.79166666666455,,0.0
2007-01-12,31.749997690613135,-98.79166666666455,,0.0
2007-01-13,31.749997690613135,-98.79166666666455,,0.0
2007-01-14,31.749997690613135,-98.79166666666455,,106.57
2007-01-15,31.749997690613135,-98.79166666666455,,63.9
2007-01-16,31.749997690613135,-98.79166666666455,,0.0
2007-01-17,31.749997690613135,-98.79166666666455,,0.0
2007-01-18,31.749997690613135,-98.79166666666455,,5.13
2007-01-19,31.749997690613135,-98.79166666666455,,22.16
2007-01-20,31.749997690613135,-98.79166666666455,,3.85
2007-01-21,31.749997690613135,-98.79166666666455,,4.04
2007-01-22,31.749997690613135,-98.79166666666455,,1.77
2007-01-23,31.749997690613135,-98.79166666666455,,0.01
2007-01-24,31.749997690613135,-98.79166666666455,,0.0
2007-01-25,31.749997690613135,-98.79166666666455,,0.0
2007-01-26,31.749997690613135,-98.79166666666455,,4.91
2007-01-27,31.749997690613135,-98.79166666666455,,0.0
2007-01-28,31.749997690613135,-98.79166666666455,,0.0
2007-01-29,31.749997690613135,-98.79166666666455,,0.1
2007-01-30,31.749997690613135,-98.79166666666455,,0.0
2007-01-31,31.749997690613135,-98.79166666666455,,0.0
2007-02-01,31.749997690613135,-98.79166666666455,,0.0
2007-02-02,31.749997690613135,-98.79166666666455,,5.17
2007-02-03,31.749997690613135,-98.79166666666455,,2.1
2007-02-04,31.749997690613135,-98.79166666666455,,0.0
2007-02-05,31.749997690613135,-98.79166666666455,,0.0
2007-02-06,31.749997690613135,-98.79166666666455,,0.0
2007-02-07,31.749997690613135,-98.79166666666455,,0.0
2007-02-08,31.749997690613135,-98.79166666666455,,0.0
2007-02-09,31.749997690613135,-98.79166666666455,,0.0
2007-02-10,31.749997690613135,-98.79166666666455,,0.1
2007-02-11,31.749997690613135,-98.79166666666455,,0.1
2007-02-12,31.749997690613135,-98.79166666666455,,0.42
2007-02-13,31.749997690613135,-98.79166666666455,,2.15
2007-02-14,31.749997690613135,-98.79166666666455,,0.05
2007-02-15,31.749997690613135,-98.79166666666455,,0.11
2007-02-16,31.749997690613135,-98.79166666666455,,0.0
2007-02-17,31.749997690613135,-98.79166666666455,,0.0
2007-02-18,31.749997690613135,-98.79166666666455,,0.0
2007-02-19,31.749997690613135,-98.79166666666455,,0.0
2007-02-20,31.749997690613135,-98.79166666666455,,0.0
2007-02-21,31.749997690613135,-98.79166666666455,,0.0
2007-02-22,31.749997690613135,-98.79166666666455,,0.0
2007-02-23,31.749997690613135,-98.79166666666455,,0.0
2007-02-24,31.749997690613135,-98.79166666666455,,0.0
2007-02-25,31.749997690613135,-98.79166666666455,,0.0
2007-02-26,31.749997690613135,-98.79166666666455,,0.0
2007-02-27,31.749997690613135,-98.79166666666455,,0.0
2007-02-28,31.749997690613135,-98.79166666666455,,0.0
2007-03-01,31.749997690613135,-98.79166666666455,,10.89
2007-03-02,31.749997690613135,-98.79166666666455,,0.0
2007-03-03,31.749997690613135,-98.79166666666455,,0.0
2007-03-04,31.749997690613135,-98.79166666666455,,0.0
2007-03-05,31.749997690613135,-98.79166666666455,,0.0
2007-03-06,31.749997690613135,-98.79166666666455,,0.0
2007-03-07,31.749997690613135,-98.79166666666455,,0.0
2007-03-08,31.749997690613135,-98.79166666666455,,0.0
2007-03-09,31.749997690613135,-98.79166666666455,,0.0
2007-03-10,31.749997690613135,-98.79166666666455,,0.0
2007-03-11,31.749997690613135,-98.79166666666455,,0.0
2007-03-12,31.749997690613135,-98.79166666666455,,0.0
2007-03-13,31.749997690613135,-98.79166666666455,,3.63
2007-03-14,31.749997690613135,-98.79166666666455,,217.09
2007-03-15,31.749997690613135,-98.79166666666455,,3.9
2007-03-16,31.749997690613135,-98.79166666666455,,0.0
2007-03-17,31.749997690613135,-98.79166666666455,,0.0
2007-03-18,31.749997690613135,-98.79166666666455,,0.0
2007-03-19,31.749997690613135,-98.79166666666455,,0.0
2007-03-20,31.749997690613135,-98.79166666666455,,1.5
2007-03-21,31.749997690613135,-98.79166666666455,0.0,1.62
2007-03-22,31.749997690613135,-98.79166666666455,0.0,0.0
2007-03-23,31.749997690613135,-98.79166666666455,0.08,4.42
2007-03-24,31.749997690613135,-98.79166666666455,0.04,6.83
2007-03-25,31.749997690613135,-98.79166666666455,0.0,0.0
2007-03-26,31.749997690613135,-98.79166666666455,0.87,39.96
2007-03-27,31.749997690613135,-98.79166666666455,1.5,886.15
2007-03-28,31.749997690613135,-98.79166666666455,0.0,6.09
2007-03-29,31.749997690613135,-98.79166666666455,0.0,0.0
2007-03-30,31.749997690613135,-98.79166666666455,0.16,286.18
2007-03-31,31.749997690613135,-98.79166666666455,2.2,637.47
2007-04-01,31.749997690613135,-98.79166666666455,0.0,15.16
2007-04-02,31.749997690613135,-98.79166666666455,0.0,0.0
2007-04-03,31.749997690613135,-98.79166666666455,0.0,0.0
2007-04-04,31.749997690613135,-98.79166666666455,0.0,234.0
