Date,Latitude,Longitude,Observed,Gaussian Simple
2007-01-01,28.666664626225014,-95.95833333333097,0.0,0.0
2007-01-02,28.666664626225014,-95.95833333333097,0.0,0.0
2007-01-03,28.666664626225014,-95.95833333333097,0.0,0.0
2007-01-04,28.666664626225014,-95.95833333333097,0.49,214.35
2007-01-05,28.666664626225014,-95.95833333333097,0.0,6.81
2007-01-06,28.666664626225014,-95.95833333333097,0.12,0.0
2007-01-07,28.666664626225014,-95.95833333333097,0.0,0.0
2007-01-08,28.666664626225014,-95.95833333333097,0.0,0.0
2007-01-09,28.666664626225014,-95.95833333333097,0.0,0.0
2007-01-10,28.666664626225014,-95.95833333333097,0.0,0.0
2007-01-11,28.666664626225014,-95.95833333333097,0.0,0.0
2007-01-12,28.666664626225014,-95.95833333333097,0.0,643.83
2007-01-13,28.666664626225014,-95.95833333333097,0.0,0.0
2007-01-14,28.666664626225014,-95.95833333333097,0.0,420.57
2007-01-15,28.666664626225014,-95.95833333333097,0.41,0.0
2007-01-16,28.666664626225014,-95.95833333333097,0.03,87.05
2007-01-17,28.666664626225014,-95.95833333333097,0.01,78.06
2007-01-18,28.666664626225014,-95.95833333333097,0.08,1350.56
2007-01-19,28.666664626225014,-95.95833333333097,0.16,0.0
2007-01-20,28.666664626225014,-95.95833333333097,0.14,0.0
2007-01-21,28.666664626225014,-95.95833333333097,0.03,0.0
2007-01-22,28.666664626225014,-95.95833333333097,0.03,0.0
2007-01-23,28.666664626225014,-95.95833333333097,0.73,0.0
2007-01-24,28.666664626225014,-95.95833333333097,2.22,0.0
2007-01-25,28.666664626225014,-95.95833333333097,0.0,23.74
2007-01-26,28.666664626225014,-95.95833333333097,0.0,15.53
2007-01-27,28.666664626225014,-95.95833333333097,1.02,0.0
2007-01-28,28.666664626225014,-95.95833333333097,0.0,0.0
2007-01-29,28.666664626225014,-95.95833333333097,0.03,0.0
2007-01-30,28.666664626225014,-95.95833333333097,0.45,0.0
2007-01-31,28.666664626225014,-95.95833333333097,0.13,0.0
2007-02-01,28.666664626225014,-95.95833333333097,0.01,0.0
2007-02-02,28.666664626225014,-95.95833333333097,0.0,0.0
2007-02-03,28.666664626225014,-95.95833333333097,0.0,0.0
2007-02-04,28.666664626225014,-95.95833333333097,0.0,0.0
2007-02-05,28.666664626225014,-95.95833333333097,0.0,0.0
2007-02-06,28.666664626225014,-95.95833333333097,0.0,0.0
2007-02-07,28.666664626225014,-95.95833333333097,0.0,0.0
2007-02-08,28.666664626225014,-95.95833333333097,0.0,0.0
2007-02-09,28.666664626225014,-95.95833333333097,0.0,0.59
2007-02-10,28.666664626225014,-95.95833333333097,0.0,0.0
2007-02-11,28.666664626225014,-95.95833333333097,0.0,53.29
2007-02-12,28.666664626225014,-95.95833333333097,0.34,0.0
2007-02-13,28.666664626225014,-95.95833333333097,0.01,8.38
2007-02-14,28.666664626225014,-95.95833333333097,0.0,0.0
2007-02-15,28.666664626225014,-95.95833333333097,0.0,0.38
2007-02-16,28.666664626225014,-95.95833333333097,0.0,0.0
2007-02-17,28.666664626225014,-95.95833333333097,0.0,0.0
2007-02-18,28.666664626225014,-95.95833333333097,0.0,0.0
2007-02-19,28.666664626225014,-95.95833333333097,0.0,0.0
2007-02-20,28.666664626225014,-95.95833333333097,0.0,1.11
2007-02-21,28.666664626225014,-95.95833333333097,0.02,0.0
2007-02-22,28.666664626225014,-95.95833333333097,0.0,1.07
2007-02-23,28.666664626225014,-95.95833333333097,0.0,0.0
2007-02-24,28.666664626225014,-95.95833333333097,0.0,200.07
2007-02-25,28.666664626225014,-95.95833333333097,0.0,0.0
2007-02-26,28.666664626225014,-95.95833333333097,0.0,0.0
2007-02-27,28.666664626225014,-95.95833333333097,0.0,2.39
2007-02-28,28.666664626225014,-95.95833333333097,0.0,7.86
2007-03-01,28.666664626225014,-95.95833333333097,0.02,119.27
2007-03-02,28.666664626225014,-95.95833333333097,0.0,0.0
2007-03-03,28.666664626225014,-95.95833333333097,0.0,0.0
2007-03-04,28.666664626225014,-95.95833333333097,0.0,0.0
2007-03-05,28.666664626225014,-95.95833333333097,0.0,0.0
2007-03-06,28.666664626225014,-95.95833333333097,0.0,0.0
2007-03-07,28.666664626225014,-95.95833333333097,0.0,0.0
2007-03-08,28.666664626225014,-95.95833333333097,0.0,0.0
2007-03-09,28.666664626225014,-95.95833333333097,0.0,0.0
2007-03-10,28.666664626225014,-95.95833333333097,0.0,0.0
2007-03-11,28.666664626225014,-95.95833333333097,0.0,0.0
2007-03-12,28.666664626225014,-95.95833333333097,0.88,200.89
2007-03-13,28.666664626225014,-95.95833333333097,0.74,0.0
2007-03-14,28.666664626225014,-95.95833333333097,2.48,0.0
2007-03-15,28.666664626225014,-95.95833333333097,0.0,20.15
2007-03-16,28.666664626225014,-95.95833333333097,0.0,0.22
2007-03-17,28.666664626225014,-95.95833333333097,0.0,0.0
2007-03-18,28.666664626225014,-95.95833333333097,0.0,0.0
2007-03-19,28.666664626225014,-95.95833333333097,0.0,0.0
2007-03-20,28.666664626225014,-95.95833333333097,0.0,0.0
2007-03-21,28.666664626225014,-95.95833333333097,0.0,7.06
2007-03-22,28.666664626225014,-95.95833333333097,0.0,0.0
2007-03-23,28.666664626225014,-95.95833333333097,0.0,12.22
2007-03-24,28.666664626225014,-95.95833333333097,0.0,0.0
2007-03-25,28.666664626225014,-95.95833333333097,0.0,0.0
2007-03-26,28.666664626225014,-95.95833333333097,0.0,583.3
2007-03-27,28.666664626225014,-95.95833333333097,0.0,139.76
