Date,Latitude,Longitude,Observed,Gaussian Krige
2007-01-01,28.95833126817615,-95.99999999999768,0.0,0.0
2007-01-02,28.95833126817615,-95.99999999999768,0.0,0.0
2007-01-03,28.95833126817615,-95.99999999999768,0.22,0.0
2007-01-04,28.95833126817615,-95.99999999999768,1.89,75.67
2007-01-05,28.95833126817615,-95.99999999999768,0.01,1.29
2007-01-06,28.95833126817615,-95.99999999999768,0.05,0.0
2007-01-07,28.95833126817615,-95.99999999999768,0.0,2.43
2007-01-08,28.95833126817615,-95.99999999999768,0.0,0.0
2007-01-09,28.95833126817615,-95.99999999999768,0.0,0.0
2007-01-10,28.95833126817615,-95.99999999999768,0.0,0.0
2007-01-11,28.95833126817615,-95.99999999999768,0.0,0.0
2007-01-12,28.95833126817615,-95.99999999999768,0.0,74.85
2007-01-13,28.95833126817615,-95.99999999999768,0.0,0.0
2007-01-14,28.95833126817615,-95.99999999999768,0.19,55.37
2007-01-15,28.95833126817615,-95.99999999999768,0.31,0.0
2007-01-16,28.95833126817615,-95.99999999999768,0.07,16.2
2007-01-17,28.95833126817615,-95.99999999999768,0.03,36.89
2007-01-18,28.95833126817615,-95.99999999999768,0.17,266.35
2007-01-19,28.95833126817615,-95.99999999999768,0.08,0.0
2007-01-20,28.95833126817615,-95.99999999999768,0.16,0.0
2007-01-21,28.95833126817615,-95.99999999999768,0.4,0.0
2007-01-22,28.95833126817615,-95.99999999999768,0.0,0.0
2007-01-23,28.95833126817615,-95.99999999999768,1.19,0.0
2007-01-24,28.95833126817615,-95.99999999999768,2.18,0.0
2007-01-25,28.95833126817615,-95.99999999999768,0.0,2.52
2007-01-26,28.95833126817615,-95.99999999999768,0.0,2.27
2007-01-27,28.95833126817615,-95.99999999999768,0.84,0.0
2007-01-28,28.95833126817615,-95.99999999999768,0.0,0.0
2007-01-29,28.95833126817615,-95.99999999999768,0.0,0.0
2007-01-30,28.95833126817615,-95.99999999999768,0.14,1.25
2007-01-31,28.95833126817615,-95.99999999999768,0.11,0.45
2007-02-01,28.95833126817615,-95.99999999999768,0.04,0.0
2007-02-02,28.95833126817615,-95.99999999999768,0.0,0.0
2007-02-03,28.95833126817615,-95.99999999999768,0.0,0.0
2007-02-04,28.95833126817615,-95.99999999999768,0.0,0.0
2007-02-05,28.95833126817615,-95.99999999999768,0.0,0.0
2007-02-06,28.95833126817615,-95.99999999999768,0.0,0.0
2007-02-07,28.95833126817615,-95.99999999999768,0.0,0.0
2007-02-08,28.95833126817615,-95.99999999999768,0.0,0.0
2007-02-09,28.95833126817615,-95.99999999999768,0.01,0.07
2007-02-10,28.95833126817615,-95.99999999999768,0.0,0.0
2007-02-11,28.95833126817615,-95.99999999999768,0.0,7.5
2007-02-12,28.95833126817615,-95.99999999999768,0.36,0.0
2007-02-13,28.95833126817615,-95.99999999999768,0.0,1.05
2007-02-14,28.95833126817615,-95.99999999999768,0.0,0.0
2007-02-15,28.95833126817615,-95.99999999999768,0.0,0.01
2007-02-16,28.95833126817615,-95.99999999999768,0.0,0.0
2007-02-17,28.95833126817615,-95.99999999999768,0.0,0.0
2007-02-18,28.95833126817615,-95.99999999999768,0.0,0.0
2007-02-19,28.95833126817615,-95.99999999999768,0.0,0.0
2007-02-20,28.95833126817615,-95.99999999999768,0.0,1.24
2007-02-21,28.95833126817615,-95.99999999999768,0.04,0.0
2007-02-22,28.95833126817615,-95.99999999999768,0.01,0.36
2007-02-23,28.95833126817615,-95.99999999999768,0.01,0.0
2007-02-24,28.95833126817615,-95.99999999999768,0.01,38.06
2007-02-25,28.95833126817615,-95.99999999999768,0.0,0.0
2007-02-26,28.95833126817615,-95.99999999999768,0.0,0.0
2007-02-27,28.95833126817615,-95.99999999999768,0.0,0.99
2007-02-28,28.95833126817615,-95.99999999999768,0.0,1.54
2007-03-01,28.95833126817615,-95.99999999999768,0.03,21.71
2007-03-02,28.95833126817615,-95.99999999999768,0.0,0.0
2007-03-03,28.95833126817615,-95.99999999999768,0.0,0.0
2007-03-04,28.95833126817615,-95.99999999999768,0.0,0.0
2007-03-05,28.95833126817615,-95.99999999999768,0.0,0.0
2007-03-06,28.95833126817615,-95.99999999999768,0.0,0.0
2007-03-07,28.95833126817615,-95.99999999999768,0.0,0.0
2007-03-08,28.95833126817615,-95.99999999999768,0.0,0.0
2007-03-09,28.95833126817615,-95.99999999999768,0.0,0.0
2007-03-10,28.95833126817615,-95.99999999999768,0.0,0.0
2007-03-11,28.95833126817615,-95.99999999999768,0.0,192.45
2007-03-12,28.95833126817615,-95.99999999999768,1.0,216.16
2007-03-13,28.95833126817615,-95.99999999999768,0.49,0.0
2007-03-14,28.95833126817615,-95.99999999999768,1.56,31.99
2007-03-15,28.95833126817615,-95.99999999999768,0.0,2.98
2007-03-16,28.95833126817615,-95.99999999999768,0.0,0.03
2007-03-17,28.95833126817615,-95.99999999999768,0.0,0.0
2007-03-18,28.95833126817615,-95.99999999999768,0.0,0.0
2007-03-19,28.95833126817615,-95.99999999999768,0.0,0.0
2007-03-20,28.95833126817615,-95.99999999999768,0.0,0.0
2007-03-21,28.95833126817615,-95.99999999999768,0.01,2.14
2007-03-22,28.95833126817615,-95.99999999999768,0.0,0.0
2007-03-23,28.95833126817615,-95.99999999999768,0.0,3.83
2007-03-24,28.95833126817615,-95.99999999999768,0.0,0.0
2007-03-25,28.95833126817615,-95.99999999999768,0.0,0.0
2007-03-26,28.95833126817615,-95.99999999999768,0.0,5.28
2007-03-27,28.95833126817615,-95.99999999999768,0.03,24.07
